OrderID,ShopperID,OrderDate,Status,TotalAmount
1,876,2024-03-17,Pending,286.86
2,564,2023-11-24,Complete,65.47
3,105,2024-07-20,Complete,78.3
4,64,2023-10-02,Complete,82.74
5,844,2023-09-28,Pending,198.68
6,646,2024-01-11,Cancelled,60.34
7,601,2024-03-14,Pending,460.37
8,77,2024-10-03,Complete,498.64
9,203,2023-10-30,Cancelled,232.85
10,132,2024-01-27,Complete,454.44
11,850,2023-07-18,Pending,78.81
12,965,2023-08-21,Pending,44.31
13,947,2023-05-11,Cancelled,227.92
14,742,2023-04-22,Pending,258.14
15,392,2024-01-26,Cancelled,224.8
16,363,2024-04-02,Complete,455.99
17,282,2023-07-31,Pending,234.09
18,153,2023-09-07,Complete,314.77
19,632,2024-03-24,Complete,330.69
20,511,2024-12-15,Pending,443.73
21,491,2023-04-24,Complete,62.11
22,393,2023-04-08,Complete,221.23
23,659,2024-11-25,Cancelled,139.59
24,822,2024-02-01,Cancelled,401.53
25,392,2023-12-03,Cancelled,192.37
26,558,2023-09-06,Pending,185.14
27,580,2023-07-24,Cancelled,174.37
28,277,2023-03-11,Complete,32.51
29,612,2023-11-29,Complete,34.07
30,831,2024-08-09,Pending,48.12
31,484,2024-05-26,Cancelled,191.57
32,599,2023-02-26,Complete,487.51
33,103,2024-09-21,Complete,335.29
34,273,2024-05-23,Cancelled,411.82
35,940,2023-07-25,Cancelled,46.84
36,971,2024-11-17,Complete,296.33
37,817,2023-09-01,Pending,190.31
38,860,2023-09-16,Complete,104.53
39,607,2025-01-21,Pending,406.98
40,715,2024-01-16,Pending,458.71
41,29,2024-12-24,Cancelled,356.27
42,971,2024-09-29,Cancelled,290.53
43,577,2023-02-05,Complete,421.61
44,830,2024-09-11,Pending,280.22
45,180,2023-10-27,Pending,38.22
46,58,2023-04-01,Complete,308.8
47,21,2023-12-06,Cancelled,249.43
48,340,2024-05-28,Cancelled,116.7
49,134,2023-10-26,Pending,364.13
50,941,2024-12-12,Pending,48.59
51,152,2025-01-17,Cancelled,358.25
52,146,2023-10-05,Complete,426.31
53,882,2024-01-03,Pending,481.07
54,383,2023-06-08,Cancelled,472.12
55,406,2023-11-29,Cancelled,68.5
56,310,2025-01-01,Pending,85.5
57,162,2023-08-07,Cancelled,475.37
58,811,2024-07-04,Cancelled,481.12
59,665,2023-03-27,Pending,103.62
60,992,2023-08-05,Cancelled,352.91
61,952,2024-04-26,Cancelled,397.76
62,229,2024-01-27,Cancelled,302.7
63,180,2023-02-02,Pending,167.28
64,706,2023-01-26,Pending,81.13
65,747,2023-04-13,Complete,475.42
66,972,2023-10-22,Cancelled,207.97
67,790,2024-05-05,Cancelled,35.54
68,617,2024-05-16,Pending,462.1
69,991,2023-08-28,Cancelled,126.03
70,580,2023-10-01,Complete,469.61
71,145,2023-09-06,Pending,377.76
72,244,2023-10-11,Pending,491.54
73,172,2023-08-14,Cancelled,444.95
74,91,2024-10-09,Cancelled,341.61
75,747,2024-05-12,Pending,234.38
76,272,2023-09-17,Complete,139.78
77,70,2024-08-10,Pending,143.2
78,111,2024-02-22,Cancelled,20.61
79,396,2024-10-09,Pending,371.64
80,993,2023-10-29,Complete,444.58
81,505,2023-02-17,Pending,188.59
82,385,2024-10-20,Complete,417.83
83,808,2023-05-29,Cancelled,332.47
84,704,2023-11-06,Complete,98.08
85,76,2024-07-06,Complete,161.56
86,327,2024-09-30,Pending,476.8
87,76,2024-02-04,Pending,101.65
88,385,2024-02-17,Complete,371.35
89,561,2023-07-17,Complete,182.22
90,629,2024-02-06,Pending,358.16
91,442,2024-10-29,Cancelled,99.2
92,912,2023-10-28,Pending,95.41
93,104,2024-02-21,Pending,118.66
94,195,2024-02-13,Pending,354.65
95,740,2024-10-09,Cancelled,279.26
96,677,2024-06-26,Pending,162.75
97,99,2025-01-06,Complete,208.59
98,563,2024-05-12,Pending,93.72
99,370,2023-02-07,Complete,225.25
100,302,2024-03-31,Cancelled,320.04
101,492,2023-02-13,Complete,66.55
102,212,2024-11-30,Complete,326.33
103,84,2024-08-19,Pending,425.01
104,316,2024-07-03,Pending,246.05
105,917,2023-10-30,Cancelled,147.2
106,658,2023-07-24,Cancelled,206.01
107,380,2023-01-24,Pending,197.31
108,457,2023-02-07,Complete,146.38
109,477,2023-01-27,Pending,128.6
110,276,2024-05-26,Cancelled,49.59
111,771,2023-08-01,Cancelled,340.38
112,88,2024-06-26,Cancelled,185.02
113,555,2023-04-22,Pending,485.94
114,604,2024-04-12,Complete,285.73
115,861,2023-02-25,Pending,412.83
116,429,2023-03-24,Cancelled,349.79
117,959,2024-02-01,Pending,294.9
118,242,2023-07-09,Pending,163.45
119,405,2023-03-01,Cancelled,36.67
120,585,2023-05-31,Cancelled,404.22
121,694,2024-05-02,Cancelled,90.77
122,973,2023-10-25,Pending,102.98
123,172,2024-06-27,Complete,408.06
124,130,2023-05-03,Complete,223.22
125,700,2025-01-21,Pending,116.92
126,843,2023-06-05,Cancelled,90.98
127,610,2023-06-22,Pending,173.48
128,745,2024-01-19,Complete,61.77
129,570,2024-09-21,Pending,284.99
130,878,2024-04-14,Pending,269.45
131,940,2023-09-15,Complete,397.54
132,639,2023-08-01,Cancelled,270.83
133,430,2023-06-22,Complete,218.93
134,152,2024-11-22,Cancelled,302.21
135,777,2023-10-31,Complete,463.97
136,577,2023-02-23,Complete,397.16
137,889,2024-03-24,Cancelled,442.47
138,899,2023-07-31,Pending,146.79
139,671,2023-07-11,Pending,294.57
140,485,2023-06-25,Complete,102.66
141,413,2024-09-29,Complete,316.76
142,698,2023-05-22,Cancelled,212.83
143,406,2024-07-28,Pending,351.45
144,51,2024-05-16,Cancelled,248.1
145,276,2023-10-16,Pending,29.71
146,838,2024-03-28,Pending,169.26
147,864,2023-03-01,Pending,431.95
148,702,2024-08-24,Complete,486.8
149,234,2024-07-31,Complete,164.23
150,762,2024-10-12,Pending,391.53
151,329,2024-12-24,Pending,369.82
152,620,2024-03-08,Cancelled,62.86
153,453,2024-11-01,Complete,458.45
154,417,2024-08-06,Cancelled,252.54
155,529,2024-09-29,Pending,414.09
156,528,2023-04-02,Complete,51.5
157,727,2024-05-30,Cancelled,213.62
158,800,2023-10-02,Cancelled,442.08
159,30,2024-04-15,Complete,112.53
160,853,2023-12-05,Complete,421.75
161,256,2023-05-08,Complete,239.1
162,941,2023-03-06,Pending,358.22
163,281,2023-10-26,Pending,415.28
164,518,2023-03-08,Pending,325.0
165,127,2023-02-09,Cancelled,34.67
166,382,2024-03-07,Pending,305.14
167,182,2024-06-21,Pending,301.7
168,359,2023-05-16,Pending,98.49
169,916,2023-07-27,Pending,379.5
170,706,2023-01-30,Complete,156.83
171,396,2023-09-08,Complete,98.2
172,586,2023-07-29,Complete,431.41
173,663,2024-06-16,Complete,345.29
174,276,2023-04-15,Cancelled,216.56
175,21,2024-10-06,Cancelled,24.27
176,934,2023-08-22,Complete,330.74
177,616,2024-08-22,Complete,127.41
178,623,2024-04-10,Pending,362.12
179,727,2024-10-07,Cancelled,152.18
180,917,2024-06-17,Pending,428.76
181,471,2023-12-05,Pending,124.74
182,310,2023-11-24,Cancelled,269.91
183,639,2024-06-29,Pending,300.55
184,8,2025-01-02,Cancelled,499.73
185,990,2025-01-05,Pending,289.5
186,609,2023-05-16,Cancelled,155.68
187,701,2023-10-12,Complete,251.23
188,345,2023-08-20,Pending,327.49
189,883,2024-09-17,Pending,145.35
190,729,2023-11-30,Cancelled,163.42
191,154,2023-02-21,Cancelled,387.43
192,922,2023-04-24,Complete,406.61
193,822,2024-07-25,Cancelled,213.97
194,328,2024-03-17,Cancelled,87.17
195,27,2023-06-04,Cancelled,258.74
196,303,2023-06-09,Pending,455.32
197,415,2023-07-30,Pending,373.63
198,598,2023-10-12,Cancelled,497.48
199,836,2023-12-26,Complete,184.72
200,731,2024-11-19,Complete,349.43
201,654,2023-06-08,Pending,455.13
202,688,2024-05-08,Pending,263.51
203,866,2023-09-12,Complete,423.51
204,898,2024-03-15,Cancelled,106.95
205,100,2023-10-17,Pending,81.41
206,265,2024-11-13,Cancelled,408.01
207,782,2024-03-10,Complete,474.52
208,922,2023-05-15,Pending,334.13
209,228,2023-03-09,Pending,127.2
210,893,2024-01-09,Pending,221.83
211,909,2024-10-16,Pending,198.41
212,600,2023-09-14,Pending,242.61
213,121,2024-04-02,Pending,45.76
214,650,2024-04-21,Cancelled,298.55
215,636,2023-12-23,Complete,246.67
216,200,2023-11-09,Cancelled,77.51
217,698,2023-09-09,Pending,274.32
218,424,2023-05-20,Complete,438.01
219,155,2024-10-01,Complete,496.33
220,351,2024-09-05,Pending,493.85
221,915,2024-05-28,Pending,88.75
222,884,2024-04-17,Cancelled,106.57
223,83,2023-09-22,Pending,179.66
224,182,2023-12-06,Pending,324.56
225,5,2024-02-17,Pending,151.29
226,780,2023-11-30,Complete,296.61
227,163,2023-11-16,Pending,396.9
228,799,2023-10-02,Complete,82.11
229,445,2023-12-19,Cancelled,226.12
230,440,2023-06-24,Pending,203.99
231,39,2024-07-12,Cancelled,115.72
232,383,2023-03-20,Complete,448.16
233,776,2023-04-25,Cancelled,111.48
234,693,2023-03-15,Complete,320.81
235,255,2023-07-05,Complete,352.89
236,353,2024-07-30,Pending,81.89
237,393,2024-06-16,Cancelled,302.56
238,172,2024-02-03,Complete,415.45
239,306,2023-10-09,Pending,238.84
240,533,2023-06-24,Cancelled,271.58
241,445,2024-08-12,Cancelled,497.83
242,351,2024-08-17,Pending,192.44
243,193,2023-06-01,Complete,475.08
244,941,2023-08-30,Pending,29.18
245,230,2024-07-13,Cancelled,492.74
246,217,2023-06-27,Cancelled,30.52
247,517,2024-08-23,Complete,79.12
248,729,2023-08-20,Cancelled,400.22
249,385,2024-08-10,Cancelled,142.78
250,548,2023-09-21,Cancelled,43.32
251,50,2024-08-17,Cancelled,71.89
252,857,2023-08-20,Complete,43.15
253,119,2024-01-27,Pending,233.27
254,127,2024-06-25,Cancelled,141.31
255,719,2023-07-09,Complete,118.64
256,703,2023-11-28,Cancelled,24.47
257,431,2024-02-06,Cancelled,68.47
258,533,2023-06-17,Pending,318.94
259,718,2024-06-11,Complete,221.04
260,921,2023-10-13,Complete,265.56
261,633,2023-10-20,Complete,155.7
262,804,2023-08-19,Complete,258.91
263,624,2023-02-17,Complete,393.42
264,852,2024-10-09,Cancelled,487.1
265,367,2024-12-07,Cancelled,216.68
266,165,2024-06-08,Complete,283.11
267,933,2024-12-03,Complete,350.34
268,493,2023-09-27,Pending,132.56
269,14,2024-12-27,Cancelled,62.72
270,114,2023-10-06,Cancelled,341.13
271,153,2024-01-15,Complete,394.17
272,77,2024-06-02,Cancelled,367.32
273,927,2023-08-19,Pending,329.28
274,468,2023-10-26,Pending,146.78
275,52,2024-12-13,Complete,410.33
276,896,2023-02-06,Complete,429.08
277,369,2024-08-18,Cancelled,170.1
278,757,2024-12-18,Complete,65.6
279,777,2024-07-04,Complete,24.64
280,142,2024-05-04,Cancelled,330.66
281,337,2024-09-04,Pending,449.37
282,979,2024-07-12,Cancelled,148.79
283,751,2023-05-12,Complete,198.86
284,351,2024-07-22,Complete,74.64
285,410,2023-12-31,Pending,150.48
286,395,2024-12-25,Cancelled,428.32
287,820,2024-01-04,Pending,331.45
288,817,2023-09-13,Complete,74.27
289,713,2024-11-03,Cancelled,48.15
290,966,2023-02-03,Complete,69.78
291,934,2023-02-24,Cancelled,251.68
292,583,2024-11-17,Cancelled,230.32
293,626,2023-02-19,Pending,394.0
294,627,2023-06-26,Complete,434.04
295,902,2023-02-05,Cancelled,487.25
296,134,2023-06-02,Pending,461.79
297,116,2023-04-07,Pending,231.53
298,65,2023-05-04,Pending,334.39
299,13,2024-03-22,Cancelled,436.8
300,538,2024-12-24,Cancelled,296.79
301,579,2023-04-09,Complete,489.39
302,686,2023-04-02,Pending,269.17
303,705,2024-09-07,Cancelled,316.75
304,444,2024-04-01,Cancelled,368.79
305,494,2023-07-05,Pending,338.58
306,657,2023-06-10,Pending,91.35
307,847,2024-03-03,Cancelled,448.19
308,628,2024-11-18,Complete,25.59
309,957,2023-04-04,Complete,262.67
310,481,2025-01-04,Pending,437.32
311,77,2024-12-05,Pending,173.9
312,339,2023-11-17,Pending,44.17
313,229,2023-07-09,Cancelled,328.79
314,413,2023-04-29,Complete,57.84
315,455,2024-07-18,Cancelled,235.09
316,878,2024-07-20,Pending,234.59
317,122,2023-04-15,Pending,377.71
318,19,2023-08-03,Complete,213.65
319,37,2023-06-19,Cancelled,283.57
320,846,2024-01-04,Complete,400.06
321,987,2023-09-24,Cancelled,326.02
322,912,2023-02-17,Cancelled,289.92
323,671,2023-09-14,Cancelled,238.98
324,350,2024-09-23,Pending,416.15
325,837,2023-11-05,Complete,425.27
326,340,2024-02-23,Cancelled,388.36
327,615,2023-12-10,Pending,364.0
328,373,2024-02-28,Cancelled,237.22
329,100,2024-09-04,Cancelled,126.44
330,350,2024-08-03,Pending,418.34
331,988,2024-12-23,Pending,282.89
332,383,2024-06-01,Cancelled,71.03
333,919,2024-05-03,Complete,256.36
334,842,2024-07-31,Cancelled,376.41
335,420,2023-04-05,Complete,142.06
336,201,2023-06-01,Complete,77.96
337,873,2024-02-18,Pending,123.48
338,845,2023-06-07,Complete,364.06
339,111,2024-11-14,Pending,42.32
340,649,2024-06-21,Cancelled,302.63
341,791,2023-11-05,Pending,239.55
342,604,2023-09-25,Cancelled,84.63
343,511,2024-08-23,Complete,274.57
344,50,2023-11-21,Cancelled,468.95
345,859,2024-06-02,Cancelled,251.81
346,521,2023-06-22,Complete,352.07
347,178,2024-06-29,Cancelled,411.32
348,107,2024-09-14,Pending,335.61
349,621,2024-03-08,Pending,261.97
350,394,2023-06-08,Pending,490.16
351,938,2023-02-16,Cancelled,385.94
352,281,2024-10-25,Pending,482.52
353,994,2023-09-28,Pending,237.37
354,137,2023-03-23,Complete,218.12
355,717,2023-12-20,Cancelled,265.9
356,864,2023-05-30,Cancelled,282.95
357,322,2024-06-19,Cancelled,373.67
358,567,2023-04-05,Cancelled,124.32
359,215,2023-08-24,Cancelled,362.9
360,704,2023-09-26,Pending,462.17
361,136,2023-12-19,Cancelled,332.04
362,982,2025-01-13,Complete,261.87
363,711,2024-03-05,Cancelled,174.74
364,119,2023-12-31,Pending,289.89
365,597,2024-05-02,Cancelled,472.48
366,728,2023-05-20,Pending,343.64
367,916,2023-10-27,Cancelled,157.25
368,868,2024-10-25,Pending,407.99
369,536,2024-10-25,Complete,32.13
370,149,2023-09-20,Complete,341.72
371,205,2023-08-17,Pending,380.09
372,165,2025-01-12,Pending,348.03
373,150,2024-03-23,Complete,351.49
374,303,2023-02-01,Complete,381.73
375,34,2024-04-13,Pending,410.73
376,105,2024-04-16,Cancelled,436.66
377,758,2023-12-04,Cancelled,435.12
378,761,2024-04-09,Cancelled,289.41
379,244,2023-03-20,Cancelled,396.47
380,818,2024-07-04,Cancelled,158.07
381,681,2023-01-31,Complete,464.71
382,397,2024-06-13,Pending,479.22
383,1000,2023-12-07,Cancelled,170.07
384,566,2024-12-07,Complete,26.22
385,258,2025-01-15,Complete,317.87
386,800,2024-03-13,Pending,418.39
387,934,2024-04-09,Cancelled,358.22
388,664,2023-06-29,Pending,382.45
389,560,2024-02-09,Cancelled,309.63
390,795,2023-04-11,Cancelled,482.86
391,302,2024-03-13,Pending,105.16
392,700,2024-05-08,Complete,109.75
393,178,2024-10-31,Cancelled,266.65
394,387,2024-04-24,Complete,225.68
395,570,2023-08-22,Pending,82.43
396,599,2024-12-31,Pending,22.71
397,478,2024-11-18,Cancelled,470.0
398,41,2023-12-24,Complete,465.74
399,612,2023-11-02,Complete,391.36
400,641,2023-05-28,Cancelled,424.71
401,309,2024-12-26,Pending,399.16
402,564,2023-03-24,Pending,54.98
403,725,2024-06-13,Pending,272.19
404,980,2023-01-28,Complete,269.89
405,806,2023-05-05,Cancelled,96.5
406,557,2023-03-29,Cancelled,213.64
407,358,2023-09-25,Complete,444.03
408,680,2024-01-18,Pending,178.91
409,301,2024-11-19,Complete,476.15
410,634,2024-02-05,Cancelled,247.93
411,575,2023-11-07,Cancelled,24.23
412,685,2023-06-30,Pending,233.92
413,927,2024-11-25,Cancelled,314.58
414,637,2023-12-19,Complete,480.27
415,699,2023-09-22,Pending,203.06
416,816,2023-06-19,Complete,205.22
417,554,2024-10-25,Cancelled,155.76
418,934,2023-02-16,Cancelled,414.61
419,384,2024-01-25,Cancelled,405.35
420,457,2024-09-08,Pending,41.05
421,920,2024-04-07,Cancelled,112.41
422,527,2023-11-16,Complete,475.14
423,172,2023-12-05,Cancelled,275.94
424,642,2023-12-04,Complete,121.18
425,645,2024-10-31,Complete,435.18
426,435,2024-02-15,Complete,118.68
427,849,2024-09-07,Cancelled,441.75
428,760,2024-09-22,Pending,330.35
429,963,2023-08-06,Complete,378.51
430,158,2023-03-13,Complete,240.43
431,340,2023-10-30,Complete,62.01
432,56,2024-11-19,Complete,401.22
433,572,2023-03-06,Complete,295.98
434,234,2024-05-26,Pending,215.66
435,462,2023-11-14,Cancelled,214.14
436,324,2024-10-14,Complete,206.96
437,122,2024-07-26,Cancelled,22.83
438,738,2023-09-01,Cancelled,50.35
439,764,2024-04-16,Cancelled,41.85
440,869,2024-09-28,Complete,191.7
441,515,2023-06-22,Complete,159.12
442,703,2024-04-14,Pending,311.15
443,289,2023-11-12,Pending,203.08
444,842,2023-10-14,Cancelled,34.79
445,161,2024-08-21,Cancelled,125.54
446,765,2024-07-22,Pending,402.45
447,870,2023-03-20,Cancelled,161.59
448,650,2023-09-27,Complete,163.07
449,909,2023-12-08,Cancelled,331.01
450,981,2023-03-11,Complete,285.69
451,569,2023-02-24,Complete,79.15
452,6,2023-06-20,Cancelled,306.39
453,551,2023-03-03,Cancelled,474.55
454,313,2024-05-19,Complete,379.18
455,926,2023-05-07,Cancelled,185.05
456,423,2023-09-20,Cancelled,428.7
457,146,2023-11-20,Complete,108.32
458,632,2024-03-04,Pending,113.28
459,186,2024-04-26,Cancelled,403.84
460,873,2025-01-14,Complete,428.67
461,955,2024-08-01,Cancelled,241.41
462,563,2024-02-26,Complete,159.51
463,69,2024-04-11,Pending,67.14
464,744,2024-04-10,Cancelled,253.85
465,339,2025-01-13,Pending,81.54
466,672,2024-10-17,Complete,68.02
467,635,2023-08-28,Complete,452.06
468,326,2023-07-28,Pending,236.31
469,632,2023-05-19,Cancelled,166.72
470,599,2023-04-04,Complete,291.46
471,374,2024-03-11,Pending,480.16
472,173,2024-08-06,Complete,170.34
473,805,2023-05-24,Complete,361.86
474,657,2023-04-06,Pending,152.81
475,369,2023-10-01,Complete,346.2
476,340,2024-10-18,Pending,242.17
477,368,2024-12-04,Pending,253.75
478,112,2023-12-04,Complete,329.86
479,84,2023-11-28,Pending,432.18
480,144,2024-05-05,Cancelled,114.29
481,752,2024-07-31,Cancelled,56.7
482,78,2024-07-28,Complete,427.8
483,647,2024-11-06,Complete,410.07
484,593,2023-04-10,Pending,389.22
485,218,2023-02-23,Complete,284.77
486,557,2023-08-09,Cancelled,246.61
487,794,2024-05-13,Complete,195.59
488,229,2024-10-21,Cancelled,371.95
489,298,2024-07-01,Complete,243.06
490,523,2024-07-07,Complete,210.46
491,515,2024-04-18,Complete,338.09
492,869,2023-04-16,Cancelled,348.4
493,776,2023-04-22,Cancelled,87.38
494,164,2024-12-26,Complete,291.85
495,580,2024-07-19,Cancelled,438.65
496,150,2023-08-23,Cancelled,371.36
497,962,2023-10-10,Pending,39.4
498,780,2023-03-06,Pending,131.24
499,271,2023-10-03,Pending,132.33
500,685,2024-05-22,Complete,268.58
501,811,2024-06-19,Pending,206.28
502,940,2024-05-29,Pending,443.14
503,41,2024-01-07,Cancelled,175.55
504,721,2023-08-09,Cancelled,324.11
505,281,2023-05-20,Cancelled,146.39
506,558,2024-04-05,Cancelled,103.45
507,670,2023-11-11,Pending,195.34
508,670,2023-07-01,Complete,268.0
509,386,2023-11-21,Complete,267.86
510,362,2023-03-15,Pending,253.69
511,494,2023-06-04,Cancelled,23.17
512,904,2024-08-31,Complete,231.15
513,236,2023-08-31,Complete,266.98
514,288,2023-05-01,Complete,92.12
515,162,2024-06-10,Pending,308.97
516,837,2024-06-08,Complete,337.33
517,425,2024-06-16,Pending,365.72
518,494,2024-07-15,Cancelled,249.83
519,216,2023-06-01,Cancelled,97.4
520,854,2023-09-27,Pending,30.77
521,45,2024-04-04,Complete,295.27
522,165,2024-07-04,Complete,322.18
523,41,2023-01-31,Cancelled,90.5
524,171,2023-08-21,Pending,462.77
525,530,2023-07-26,Pending,307.69
526,578,2024-02-18,Cancelled,28.94
527,737,2023-03-24,Cancelled,337.64
528,291,2023-08-17,Complete,123.96
529,622,2024-04-25,Pending,436.31
530,175,2023-05-03,Complete,418.57
531,616,2024-05-27,Complete,401.42
532,841,2024-12-01,Complete,319.14
533,524,2024-06-16,Pending,100.51
534,703,2024-09-14,Pending,462.73
535,611,2024-09-01,Cancelled,53.04
536,388,2023-11-10,Pending,83.46
537,17,2024-05-12,Complete,270.9
538,932,2024-07-24,Cancelled,348.5
539,847,2023-06-06,Complete,310.65
540,182,2024-08-24,Pending,452.77
541,615,2024-12-14,Complete,441.32
542,545,2023-12-04,Cancelled,381.14
543,96,2024-10-08,Pending,336.51
544,924,2023-02-05,Cancelled,278.86
545,2,2023-04-03,Cancelled,331.63
546,535,2024-05-09,Pending,197.78
547,45,2023-04-06,Cancelled,274.31
548,235,2023-05-13,Pending,398.99
549,391,2024-08-16,Pending,302.74
550,760,2024-08-06,Cancelled,296.54
551,436,2023-11-02,Complete,142.17
552,785,2024-12-06,Complete,456.84
553,86,2024-10-29,Pending,307.18
554,557,2024-08-13,Pending,143.75
555,6,2024-02-18,Cancelled,376.95
556,8,2024-04-08,Cancelled,270.82
557,533,2024-01-13,Complete,200.01
558,211,2023-05-19,Cancelled,406.06
559,419,2024-04-10,Pending,71.16
560,437,2024-09-28,Cancelled,300.98
561,268,2024-03-26,Cancelled,223.31
562,375,2023-02-02,Cancelled,152.27
563,697,2023-12-06,Pending,382.39
564,424,2023-07-21,Cancelled,396.22
565,495,2024-10-16,Complete,197.7
566,569,2023-04-06,Pending,141.81
567,315,2024-09-20,Cancelled,185.29
568,723,2023-09-11,Pending,373.18
569,876,2023-03-19,Cancelled,77.16
570,236,2023-12-30,Pending,395.89
571,973,2024-05-10,Complete,68.13
572,521,2023-07-13,Pending,397.32
573,821,2023-12-09,Cancelled,314.73
574,701,2023-04-30,Cancelled,44.99
575,399,2024-10-01,Cancelled,22.54
576,94,2024-11-06,Complete,246.4
577,615,2023-07-15,Pending,62.31
578,270,2024-04-03,Complete,198.0
579,624,2023-01-23,Complete,367.76
580,954,2023-11-02,Pending,314.7
581,534,2023-09-04,Pending,361.57
582,612,2024-05-09,Complete,473.94
583,840,2023-12-29,Complete,327.34
584,450,2024-01-06,Complete,116.82
585,673,2023-10-01,Cancelled,157.28
586,35,2023-12-24,Cancelled,265.06
587,716,2024-08-05,Complete,315.29
588,691,2023-06-15,Complete,192.68
589,671,2023-03-26,Complete,488.31
590,89,2023-05-03,Pending,394.24
591,362,2024-06-05,Cancelled,209.67
592,601,2023-09-15,Complete,268.52
593,755,2023-07-16,Cancelled,52.94
594,93,2023-02-09,Cancelled,156.56
595,850,2023-06-16,Cancelled,459.2
596,357,2024-10-18,Pending,482.38
597,284,2023-09-25,Complete,311.05
598,200,2023-10-28,Pending,466.26
599,589,2024-11-19,Complete,145.33
600,417,2023-11-21,Cancelled,71.1
601,75,2023-12-13,Cancelled,161.24
602,970,2023-07-24,Complete,405.41
603,980,2024-11-10,Pending,440.53
604,833,2023-06-10,Cancelled,140.07
605,454,2024-11-14,Pending,290.32
606,789,2023-03-14,Complete,383.59
607,985,2023-04-05,Pending,347.17
608,919,2023-03-29,Cancelled,433.77
609,494,2023-11-21,Complete,143.75
610,392,2023-07-06,Cancelled,398.55
611,226,2023-08-22,Cancelled,356.56
612,820,2024-02-20,Pending,217.96
613,362,2024-08-21,Cancelled,277.11
614,718,2023-08-30,Pending,139.16
615,96,2023-05-05,Pending,343.38
616,841,2024-05-15,Pending,56.49
