OrderDetailID,OrderID,ProductID,Quantity,Price
1,1,718,3,39.04
2,1,902,2,66.64
3,1,864,5,84.89
4,1,889,7,90.82
5,1,927,2,83.7
6,2,724,4,46.52
7,2,39,2,72.66
8,3,239,10,63.84
9,3,367,5,18.79
10,3,213,9,32.65
11,3,240,2,38.26
12,4,795,1,64.28
13,4,9,8,63.8
14,5,678,6,79.77
15,5,637,1,68.56
16,5,439,5,42.61
17,5,808,10,58.45
18,5,139,5,92.32
19,6,576,10,64.48
20,7,720,2,51.48
21,7,652,4,39.58
22,8,429,7,55.74
23,9,899,4,29.42
24,10,482,4,94.09
25,10,464,1,53.04
26,10,140,2,53.09
27,10,232,5,97.72
28,10,724,3,37.51
29,11,662,3,76.15
30,11,968,5,18.47
31,12,538,4,82.97
32,12,63,7,70.63
33,12,252,3,76.02
34,12,445,6,37.77
35,12,15,2,90.24
36,13,665,5,36.12
37,14,304,9,88.54
38,14,278,3,70.25
39,15,162,5,32.02
40,16,8,10,37.69
41,16,422,6,73.14
42,16,961,2,20.62
43,17,437,2,98.19
44,17,427,5,10.73
45,17,822,10,35.65
46,17,317,8,41.64
47,17,636,9,65.8
48,18,919,4,52.07
49,19,319,3,37.01
50,19,333,2,71.59
51,19,639,1,55.77
52,20,395,2,70.07
53,20,842,2,12.44
54,21,326,7,38.76
55,21,274,3,77.44
56,22,180,1,67.08
57,22,179,4,53.23
58,22,729,7,48.95
59,22,680,7,64.0
60,22,794,3,61.29
61,23,238,9,44.54
62,23,583,5,18.36
63,24,641,9,80.42
64,25,624,1,85.22
65,25,813,4,80.51
66,26,130,5,68.83
67,26,880,3,36.47
68,26,388,7,70.6
69,27,763,4,34.31
70,27,196,4,82.54
71,27,691,9,58.49
72,27,236,4,33.16
73,27,484,6,19.23
74,28,391,7,91.23
75,28,261,1,55.7
76,28,795,6,83.07
77,28,180,5,32.42
78,28,576,3,44.53
79,29,968,3,59.9
80,29,352,1,50.48
81,29,210,6,83.91
82,29,23,10,87.58
83,29,168,9,67.02
84,30,827,10,98.98
85,30,624,5,89.12
86,30,944,8,85.92
87,30,887,1,32.39
88,30,438,10,88.63
89,31,291,6,28.86
90,31,616,2,85.56
91,31,482,7,39.53
92,31,265,8,21.21
93,32,536,4,10.41
94,32,781,10,81.84
95,32,349,5,22.27
96,32,521,8,29.1
97,32,282,5,76.56
98,33,661,7,70.03
99,33,529,7,48.67
100,33,604,9,65.02
101,33,265,8,11.48
102,33,718,2,51.18
103,34,894,7,62.58
104,35,867,5,65.91
105,36,83,1,96.7
106,37,818,9,33.46
107,37,975,8,19.24
108,38,492,6,47.69
109,38,746,6,10.0
110,38,347,2,58.85
111,38,518,7,94.93
112,39,394,8,69.6
113,40,577,3,28.4
114,40,711,4,97.27
115,40,377,10,89.88
116,41,590,9,39.49
117,41,905,5,39.18
118,41,932,1,68.11
119,41,801,7,46.77
120,42,810,4,53.6
121,42,319,1,22.21
122,42,730,5,91.11
123,42,815,9,49.12
124,42,483,9,62.9
125,43,821,8,21.19
126,43,982,1,86.0
127,43,339,1,98.23
128,44,552,6,88.42
129,44,503,7,77.01
130,45,896,5,56.27
131,45,809,2,66.63
132,45,779,4,56.56
133,45,295,10,32.0
134,46,881,9,88.14
135,46,688,7,27.63
136,46,525,6,29.87
137,46,738,2,11.96
138,47,871,3,49.53
139,48,387,10,40.01
140,48,991,10,68.37
141,48,2,5,67.84
142,48,516,6,23.27
143,48,890,8,51.37
144,49,386,8,14.39
145,49,222,7,39.48
146,49,151,1,95.08
147,49,766,7,29.41
148,49,312,5,29.02
149,50,265,7,55.78
150,50,613,7,77.25
151,50,736,4,30.94
152,50,551,2,70.68
153,50,155,4,30.01
154,51,696,7,17.99
155,51,732,1,50.36
156,51,226,2,89.73
157,51,309,5,87.97
158,52,473,7,25.58
159,52,424,3,44.93
160,52,966,7,50.0
161,52,321,1,55.85
162,53,937,10,53.95
163,53,508,5,80.52
164,53,990,6,65.19
165,53,701,5,68.51
166,53,964,5,85.54
167,54,142,10,41.87
168,54,195,8,77.49
169,54,807,5,89.04
170,55,986,4,52.86
171,56,430,9,52.78
172,56,26,5,88.49
173,56,24,8,47.91
174,56,364,2,37.73
175,57,360,4,36.82
176,57,78,6,77.89
177,57,785,4,68.66
178,57,213,1,65.98
179,58,808,1,67.9
180,59,585,5,76.46
181,60,382,7,42.14
182,60,519,3,31.8
183,60,298,5,40.91
184,60,538,6,68.92
185,61,375,4,40.78
186,61,185,4,87.84
187,61,134,7,48.69
188,61,33,1,87.55
189,62,267,8,12.6
190,63,755,2,16.31
191,63,754,4,83.34
192,63,599,6,84.2
193,63,80,2,64.0
194,63,784,10,55.17
195,64,754,7,85.02
196,64,83,2,59.29
197,64,700,6,55.21
198,64,767,8,80.88
199,64,284,7,48.37
200,65,748,5,52.33
201,65,436,2,55.97
202,65,783,7,56.0
203,66,288,8,75.98
204,67,410,7,59.28
205,67,151,10,11.42
206,67,382,3,43.2
207,67,352,10,62.76
208,68,540,10,16.1
209,69,719,4,72.25
210,69,4,3,61.68
211,70,509,7,91.74
212,70,876,1,38.4
213,71,697,4,66.08
214,71,433,3,92.32
215,71,69,5,14.93
216,71,69,4,88.81
217,72,398,7,12.9
218,72,497,5,50.6
219,72,250,4,59.66
220,72,859,2,32.8
221,72,751,9,40.56
222,73,467,5,87.83
223,73,848,3,10.24
224,73,336,10,33.62
225,74,18,3,92.47
226,75,802,9,53.28
227,75,232,6,99.29
228,76,938,7,47.23
229,76,948,8,53.12
230,76,98,4,18.12
231,76,209,6,16.87
232,76,691,4,10.78
233,77,527,6,27.6
234,77,923,7,79.52
235,77,548,2,41.43
236,78,959,9,79.82
237,78,374,3,72.44
238,78,501,9,64.21
239,78,352,10,82.61
240,78,60,10,57.03
241,79,939,3,97.4
242,80,385,6,42.49
243,80,532,2,43.91
244,80,354,10,26.0
245,80,551,4,94.82
246,80,100,10,29.83
247,81,781,10,18.25
248,81,913,1,75.91
249,81,201,9,15.85
250,81,265,7,27.02
251,81,131,10,98.38
252,82,320,3,19.25
253,82,623,6,61.68
254,83,782,1,85.64
255,83,754,2,25.6
256,84,322,3,52.5
257,84,198,5,18.16
258,84,90,5,75.14
259,84,91,4,32.45
260,84,341,6,42.62
261,85,976,2,38.87
262,86,195,1,82.76
263,87,11,8,49.69
264,87,91,2,90.43
265,87,632,7,42.45
266,88,311,6,38.78
267,88,417,7,31.36
268,88,820,5,39.3
269,88,908,5,20.77
270,88,572,3,63.79
271,89,145,7,94.49
272,90,274,6,23.74
273,90,427,5,71.6
274,90,958,10,92.56
275,90,823,2,12.06
276,90,996,2,92.59
277,91,657,7,72.1
278,91,96,1,15.3
279,91,772,9,67.28
280,91,164,5,22.06
281,92,415,9,22.73
282,93,948,3,23.68
283,93,86,8,42.03
284,93,654,7,25.34
285,93,801,7,85.21
286,93,583,7,95.91
287,94,542,4,66.83
288,95,587,2,77.12
289,95,12,6,61.18
290,95,143,6,54.3
291,95,779,3,59.61
292,96,51,4,24.21
293,96,32,1,96.41
294,96,677,8,92.16
295,96,274,9,40.56
296,97,753,3,32.87
297,97,196,9,51.68
298,97,126,3,64.91
299,97,91,5,40.12
300,98,340,9,89.61
301,99,724,3,92.22
302,100,410,1,82.54
303,100,45,5,59.72
304,100,178,3,33.59
305,100,429,6,86.25
306,100,908,8,33.71
307,101,710,10,96.94
308,101,43,10,12.1
309,101,892,2,67.11
310,101,996,10,55.46
311,102,402,5,28.38
312,102,97,7,39.63
313,102,862,6,48.83
314,102,138,4,56.33
315,103,544,9,93.41
316,103,454,7,41.28
317,103,714,10,66.11
318,103,244,2,28.54
319,104,427,3,89.65
320,105,864,10,12.07
321,105,91,2,81.94
322,106,570,7,10.82
323,106,287,8,84.76
324,107,682,8,91.23
325,107,82,10,65.39
326,107,220,9,11.5
327,108,125,5,87.12
328,108,534,10,81.79
329,108,784,6,75.69
330,109,173,10,36.09
331,109,76,10,74.02
332,109,125,5,51.36
333,109,577,1,96.13
334,109,239,5,49.64
335,110,246,10,42.26
336,110,96,7,52.68
337,110,655,1,83.81
338,110,340,4,21.35
339,110,748,7,54.41
340,111,262,9,78.32
341,111,414,9,77.34
342,111,424,6,44.2
343,111,677,3,63.37
344,111,171,6,79.69
345,112,680,3,88.54
346,112,163,9,91.56
347,112,735,9,91.1
348,112,779,2,57.42
349,112,158,4,43.62
350,113,448,9,56.28
351,114,549,5,71.34
352,114,852,7,53.65
353,114,420,8,55.21
354,114,626,7,35.07
355,115,225,8,97.62
356,115,752,5,61.71
357,115,851,10,52.74
358,115,151,2,30.79
359,115,652,4,17.3
360,116,331,6,71.53
361,116,727,6,63.97
362,116,163,9,73.0
363,116,501,5,58.37
364,117,989,5,17.83
365,117,703,2,73.52
366,117,299,9,44.72
367,117,909,3,48.57
368,118,779,2,85.51
369,118,668,2,81.09
370,118,634,8,48.2
371,119,230,5,65.18
372,119,365,6,16.47
373,119,367,7,37.96
374,120,627,7,49.65
375,121,438,4,94.18
376,121,9,1,60.92
377,121,212,6,76.28
378,121,838,3,15.49
379,121,113,7,80.59
380,122,88,6,61.8
381,123,177,5,23.01
382,123,537,5,78.34
383,124,313,10,25.07
384,124,391,7,59.8
385,125,644,9,78.97
386,125,447,1,95.94
387,125,824,9,97.37
388,125,282,1,81.43
389,125,202,5,59.82
390,126,859,6,88.34
391,127,766,4,43.73
392,127,903,9,45.92
393,127,765,8,19.39
394,127,355,6,33.51
395,128,902,1,41.05
396,128,600,3,90.32
397,128,42,10,90.15
398,128,497,5,93.83
399,129,649,3,54.62
400,129,50,6,77.44
401,129,405,5,66.16
402,129,65,2,63.94
